gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2634362774	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858408/original.jpeg	https://www.inaturalist.org/photos/73858408					2019-04-20T04:44:39Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2634301046	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/75475785/original.jpg	https://www.inaturalist.org/photos/75475785					2019-05-21T12:11:59Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
2634290921	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/76447293/original.jpeg	https://www.inaturalist.org/photos/76447293					2020-06-01T22:05:54Z	Norm Conrad		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norm Conrad
2634274757	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74746093/original.jpeg	https://www.inaturalist.org/photos/74746093					2019-09-02T14:26:26Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2634274757	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74746087/original.jpeg	https://www.inaturalist.org/photos/74746087					2019-09-02T14:02:34Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2634098672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/76435986/original.jpg	https://www.inaturalist.org/photos/76435986					2020-06-01T01:30:25Z	eclecctica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eclecctica
2634098672	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/76257594/original.jpg	https://www.inaturalist.org/photos/76257594					2020-06-01T01:30:25Z	eclecctica		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eclecctica
2634029727	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73846299/original.jpg	https://www.inaturalist.org/photos/73846299					2020-05-20T02:30:01Z	turning_a_new_leaf		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	turning_a_new_leaf
2634020737	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858520/original.jpeg	https://www.inaturalist.org/photos/73858520					2019-05-18T05:29:10Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2634018731	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858504/original.jpeg	https://www.inaturalist.org/photos/73858504					2019-07-07T00:13:57Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2633996742	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858428/original.jpeg	https://www.inaturalist.org/photos/73858428					2019-06-24T12:31:22Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2633988753	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858434/original.jpeg	https://www.inaturalist.org/photos/73858434					2019-06-26T01:35:02Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2633969732	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858449/original.jpeg	https://www.inaturalist.org/photos/73858449					2019-04-29T13:25:59Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2626522601	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858328/original.jpeg	https://www.inaturalist.org/photos/73858328					2019-08-08T17:20:49Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2626506517	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/72955472/original.jpg	https://www.inaturalist.org/photos/72955472					2019-06-12T16:18:37Z	Joseph Pagayonan		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Joseph Pagayonan
2626438188	Sound	audio/mpeg	https://static.inaturalist.org/sounds/92005.mpga?1589959206	https://www.inaturalist.org/photos/92005					2020-05-20T07:20:06Z	FreckLes		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	FreckLes
2626438188	Sound	audio/mpeg	https://static.inaturalist.org/sounds/92004.mpga?1589959111	https://www.inaturalist.org/photos/92004					2020-05-20T07:18:31Z	FreckLes		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	FreckLes
