gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1291995373		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000120									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000120												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen			"{ ""massInGrams""=""9000"" }"	urn:catalog:UBCBBM:CTC:M000120	M000120		H. Wearne		1			female				native			requires verification	present	skull	in collection																		1938-12-04		338	338	1938	12	4	4 December 1938										North America | Canada | BC | Skeena |  |  |  |	North America				Canada	CA	British Columbia	Skeena-Queen Charlotte		Quick	North America | Canada | BC | Skeena | Quick												54.616667	-126.9	WGS84																																																					Canis latrans incolatus							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus		subspecies			Coyote	ICZN			
1291995370		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000119									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000119												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen				urn:catalog:UBCBBM:CTC:M000119	M000119		H. Wearne		1			male	juvenile			native			requires verification	present	skull	in collection																		1935-11				1935	11		November 1935										North America | Canada | BC | Skeena |  |  |  |	North America				Canada	CA	British Columbia	Skeena-Queen Charlotte		Telkwa	North America | Canada | BC | Skeena | Telkwa												54.694951	-127.04759	WGS84																																																					Canis latrans incolatus							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus		subspecies			Coyote	ICZN			
1291995367		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000118									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000118												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen				urn:catalog:UBCBBM:CTC:M000118	M000118		H. Wearne		1			male				native			requires verification	present	skull	in collection																		1938-11-04		308	308	1938	11	4	4 November 1938										North America | Canada | BC | Skeena |  |  |  |	North America				Canada	CA	British Columbia	Skeena-Queen Charlotte		Quick	North America | Canada | BC | Skeena | Quick												54.616667	-126.9	WGS84																																																					Canis latrans incolatus							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus		subspecies			Coyote	ICZN			
1291995366		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000122									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000122												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen			"{ ""massInGrams""=""11000"" }"	urn:catalog:UBCBBM:CTC:M000122	M000122		H. Wearne		1			male				native			requires verification	present	skull	in collection																		1938-11-10		314	314	1938	11	10	10 November 1938										North America | Canada | BC | Skeena |  |  |  |	North America				Canada	CA	British Columbia	Skeena-Queen Charlotte		Quick	North America | Canada | BC | Skeena | Quick												54.616667	-126.9	WGS84																																																					Canis latrans incolatus							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus		subspecies			Coyote	ICZN			
1291995278		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000034									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000034												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen				urn:catalog:UBCBBM:CTC:M000034	M000034	376	J. Jacobs		1			in question				native			requires verification	present	skull	in collection																		1937-05-31		151	151	1937	5	31	31 May 1937										North America | Canada | BC | Thompson-Nicola |  |  |  |	North America				Canada	CA	British Columbia	Thompson-Nicola		Lac du Bois	North America | Canada | BC | Thompson-Nicola | Lac du Bois												50.799167	-120.457778	NAD83																																																					Canis latrans lestes							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	lestes		subspecies			Coyote	ICZN			
1291995271		http://vertnet.org/resources/norms.html																								urn:catalog:UBCBBM:CTC:M000041									en				2015-04-06			http://portal.vertnet.org/o/ubcbbm/ctc?id=m000041												PhysicalObject					UBCBBM	CTC	Cowan Tetrapod Collection - Mammal		PreservedSpecimen				urn:catalog:UBCBBM:CTC:M000041	M000041	3514	G.J. Spencer		1			male				native			requires verification	present	skull	in collection																		1935				1935			1935										North America | Canada | BC | Thompson-Nicola |  |  |  |	North America				Canada	CA	British Columbia	Thompson-Nicola		Kamloops	North America | Canada | BC | Thompson-Nicola | Kamloops												50.674522	-120.327267	WGS84																																																					Canis latrans lestes							Animalia | Chordata | Mammalia | Carnivora | Canidae | Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	lestes		subspecies			Coyote	ICZN			
1211982980																										2332440										http://creativecommons.org/licenses/by-nc/4.0/			2022-06-16T04:51:53Z			https://www.inaturalist.org/observations/2332440					Bridget Spencer												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/2332440	2332440		Bridget Spencer																																	2013-05-22							2013-05-22																CA	British Columbia				McCleery Golf Course, Vancouver BC												49.215207	-123.16516	EPSG:4326	21																																		4261959				Bridget Spencer		2015-10-30T14:26:00Z				42051								Canis latrans								Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis							species							
1211863052		not-for-profit use only																								URI:catalog:ROM:Mammals:20969									en	https://creativecommons.org/licenses/by-nc/4.0/			2018-04-04								Royal Ontario Museum; ROM							PhysicalObject			urn:lsid:biocol.org:col:34909		ROM	Mammals	Mammalogy		PreservedSpecimen				URI:catalog:ROM:Mammals:20969	20969	1970	Munro, JA					male	adult								skin; skull; tanned																			1950-09-16				1950	9	16	19500916										North America; Canada; British Columbia; Squamish-Lillooet	North America				Canada		British Columbia	Squamish-Lillooet		Horse Lake, Lillooet	Horse Lake, Lillooet											ROM data parsed by John Wieczorek, 20020402.  MaNIS-Orig Upload	51.1	-122.6	not recorded				510600 N;1223600 W								Unknown (ROM)		MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.																																						Canis latrans							Animalia; Chordata; Mammalia; Carnivora; Canidae; Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus									
1211861639		not-for-profit use only																								URI:catalog:ROM:Mammals:30403									en	https://creativecommons.org/licenses/by-nc/4.0/			2018-04-04								Royal Ontario Museum; ROM							PhysicalObject			urn:lsid:biocol.org:col:34909		ROM	Mammals	Mammalogy		PreservedSpecimen				URI:catalog:ROM:Mammals:30403	30403		Munro, JA					male	adult								skull																			1952-09				1952	9		19520900										North America; Canada; British Columbia; Okanagan-Similkameen	North America				Canada		British Columbia	Okanagan-Similkameen		Vernon, Osoyoos	Vernon, Osoyoos											ROM data parsed by John Wieczorek, 20020402.  MaNIS-Orig Upload	50.2666666667	-119.2666666667	not recorded				501600 N;1191600 W								Unknown (ROM)		MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.																																						Canis latrans							Animalia; Chordata; Mammalia; Carnivora; Canidae; Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	lestes									
1211861595		not-for-profit use only																								URI:catalog:ROM:Mammals:30402									en	https://creativecommons.org/licenses/by-nc/4.0/			2018-04-04								Royal Ontario Museum; ROM							PhysicalObject			urn:lsid:biocol.org:col:34909		ROM	Mammals	Mammalogy		PreservedSpecimen				URI:catalog:ROM:Mammals:30402	30402	3679	Munro, JA					male	adult								skull																			1956-01-11				1956	1	11	19560111										North America; Canada; British Columbia; Okanagan-Similkameen	North America				Canada		British Columbia	Okanagan-Similkameen		Vernon, Osoyoos	Vernon, Osoyoos											ROM data parsed by John Wieczorek, 20020402.  MaNIS-Orig Upload	50.2666666667	-119.2666666667	not recorded				501600 N;1191600 W								Unknown (ROM)		MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.																																						Canis latrans							Animalia; Chordata; Mammalia; Carnivora; Canidae; Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	lestes									
1211861410		not-for-profit use only																								URI:catalog:ROM:Mammals:30405									en	https://creativecommons.org/licenses/by-nc/4.0/			2018-04-04								Royal Ontario Museum; ROM							PhysicalObject			urn:lsid:biocol.org:col:34909		ROM	Mammals	Mammalogy		PreservedSpecimen				URI:catalog:ROM:Mammals:30405	30405		Munro, JA					male	adult								skull																			1952-11				1952	11		19521100										North America; Canada; British Columbia; Okanagan-Similkameen	North America				Canada		British Columbia	Okanagan-Similkameen		Okanagan Landing, Osoyoos	Okanagan Landing, Osoyoos											ROM data parsed by John Wieczorek, 20020402.  MaNIS-Orig Upload	50.2333333333	-119.35	not recorded				501400 N;1192100 W								Unknown (ROM)		MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	Most likely from the gazetteer in, The Times Atlas of the World, Comprehensive Edition. 1975. John Bartholomew and Son Limited. Edinburgh, Great Britain. xl + 123 plates + 223 pp.																																						Canis latrans							Animalia; Chordata; Mammalia; Carnivora; Canidae; Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	lestes									
1211775574		not-for-profit use only																								URI:catalog:ROM:Mammals:10870									en	https://creativecommons.org/licenses/by-nc/4.0/			2018-04-04								Royal Ontario Museum; ROM							PhysicalObject			urn:lsid:biocol.org:col:34909		ROM	Mammals	Mammalogy		PreservedSpecimen				URI:catalog:ROM:Mammals:10870	10870	10727	McCabe, TTEB					unknown	adult								skull																			1930				1930			19300000										North America; Canada; British Columbia	North America				Canada		British Columbia			M Cottonwood Post Office	M Cottonwood Post Office											M likely refers to omitted offset in miles ; MaNIS-03 Upload	53.05	-122.1667	NAD27	1.8251424											Gary W. Shugart (PSM)	20041103	MaNIS/HerpNet/ORNIS Georeferencing Guidelines, GBIF Best Practices	BC GNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data																																						Canis latrans							Animalia; Chordata; Mammalia; Carnivora; Canidae; Canis	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus									
1145872213		http://vertnet.org/resources/norms.html																								http://arctos.database.museum/guid/MVZ:Mamm:77337?seid=1419159										http://creativecommons.org/licenses/by/3.0/			2023-01-17 15:07:07.400985			http://arctos.database.museum/guid/MVZ:Mamm:77337														MVZ	28		MVZ	Mamm			PreservedSpecimen			sex=female;verbatim agent=G. H. Leslie	http://arctos.database.museum/guid/MVZ:Mamm:77337?seid=1419159	MVZ:Mamm:77337							female				wild			unverified		skull									http://arctos.database.museum/guid/MVZ:Mamm:77337				"[{""scientific_name"":""Canis latrans incolatus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""1999-01-27"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""Museum of Vertebrate Zoology, University of California, Berkeley"",""concept_label"":null}]"						1818-06-20/1999-02-04	1818-06-20/1999-02-04						not recorded										Canada					Canada					Yukon River, Mt. McKinley District	Yukon R., Mt. McKinley District	1524	1524								unknown		49.5380550000	-118.4063890000		301								POLYGON((-118.402229998601 49.5381054830419,-118.402294800844 49.5375764799627,-118.40251693648 49.5370658686882,-118.402887864579 49.5365932708986,-118.403393327535 49.5361768469542,-118.404013899443 49.5358325982023,-118.404725732811 49.5355737522964,-118.405501474898 49.5354102551137,-118.406311318463 49.5353483887574,-118.40712414662 49.5353905302916,-118.407908727887 49.5355350604568,-118.408634915628 49.5357764258642,-118.409274805902 49.5361053522839,-118.409803809336 49.5365092008492,-118.410201595885 49.5369724535193,-118.410452876221 49.5374773091801,-118.410547989689 49.5380043675139,-118.410483276184 49.5385333743901,-118.410261217559 49.5390440001554,-118.409890343021 49.5395166209236,-118.409384902019 49.5399330728361,-118.40876431712 49.5402773502877,-118.40805243779 49.5405362212556,-118.407276623769 49.5406997360471,-118.406466693249 49.5407616098784,-118.405653776354 49.5407194645472,-118.404869118076 49.5405749198912,-118.404142876775 49.5403335315051,-118.403502964545 49.5400045771174,-118.402973974103 49.5396006998524,-118.402576233516 49.5391374221203,-118.402325025114 49.5386325488506,-118.402229998601 49.5381054830419))			unknown	2012-07-08 00:00:00	automated georeference	see accompanying locality attribute																						A		Museum of Vertebrate Zoology, University of California, Berkeley		1999-01-27		unknown	Former nature_of_id: legacy.									Canis latrans incolatus							Animalia, Chordata, Mammalia, Carnivora, Caniformia, Canidae, Canis, Canis latrans,	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus						ICZN			
1145847368		http://vertnet.org/resources/norms.html																								http://arctos.database.museum/guid/MVZ:Mamm:54944?seid=1554099										http://creativecommons.org/licenses/by/3.0/			2023-01-17 15:07:07.400985			http://arctos.database.museum/guid/MVZ:Mamm:54944														MVZ	28		MVZ	Mamm			PreservedSpecimen			sex=unknown;verbatim agent=et al.	http://arctos.database.museum/guid/MVZ:Mamm:54944?seid=1554099	MVZ:Mamm:54944	10727	Collector(s): Thomas T. McCabe					unknown				wild			unverified		skull							collector number=10727	EXCH:ROYAL ONTARIO MUS;1937	http://arctos.database.museum/guid/MVZ:Mamm:54944				"[{""scientific_name"":""Canis latrans incolatus"",""nature_of_id"":""unknown"",""accepted_id_fg"":1,""made_date"":""1999-01-27"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: legacy."",""idby"":""Museum of Vertebrate Zoology, University of California, Berkeley"",""concept_label"":null}]"						1928-01-01/1928-12-31	1928-01-01/1928-12-31						1928										Canada, British Columbia					Canada		British Columbia			near Cottonwood, Cariboo District	near Cottonwood, Barkerville Dist										Gary W. Shugart		53.0500000000	-122.1667000000	North American Datum 1927	3212			53.05/-122.1667			decimal degrees		POLYGON((-122.118788730355 53.0496547699485,-122.119824076182 53.0440292474784,-122.122660087928 53.0386334861997,-122.127187201325 53.0336747173755,-122.133231066286 53.0293433226276,-122.140559303981 53.0258055452506,-122.148890454504 53.023197133471,-122.157904768711 53.0216181550956,-122.167256433272 53.0211291780671,-122.176586768674 53.0217489597576,-122.185537906831 53.0234537312496,-122.19376643876 53.0261781033372,-122.200956523741 53.029817560551,-122.206831969499 53.0342324502114,-122.211166827907 53.0392533173594,-122.213794101841 53.0446873853717,-122.21461222506 53.0503259379879,-122.213589056704 53.0559523230664,-122.21076322307 53.0613502731093,-122.206242738901 53.0663122236345,-122.200200945043 53.0706473086357,-122.192869905016 53.0741887230111,-122.184531505353 53.0768001648337,-122.175506598812 53.0783811049994,-122.166142611312 53.0788706769001,-122.156800098424 53.0782500325997,-122.14783878215 53.0765430723404,-122.139603621 53.0738155185488,-122.132411464931 53.0701723710805,-122.126538821519 53.0657538444233,-122.122211212257 53.0607299472354,-122.119594530649 53.0552939174358,-122.118788730355 53.0496547699485))			Gary W. Shugart	2004-11-03 00:00:00	MaNIS georeferencing guidelines	BCGNIS downloaded April 2003/ SoftMap Oct 2003 (www.softmaptechnologies.com); degrees & minutes converted to dec lat/long for calculations; SoftMap uses same lat/long data																						A		Museum of Vertebrate Zoology, University of California, Berkeley		1999-01-27		unknown	Former nature_of_id: legacy.									Canis latrans incolatus							Animalia, Chordata, Mammalia, Carnivora, Caniformia, Canidae, Canis, Canis latrans,	Animalia	Chordata	Mammalia	Carnivora	Canidae		Canis				latrans	incolatus						ICZN			
